date,AVAXUSDT,TWTUSDT,AAVEUSDT,ETHUSDT,UNIUSDT,KAVAUSDT,CAKEUSDT,ROSEUSDT,DOTUSDT,ATOMUSDT,ADAUSDT,SUSHIUSDT,FETUSDT,XRPUSDT,AXSUSDT,DUSKUSDT,LTCUSDT,TRXUSDT,DOGEUSDT,LINKUSDT,ZECUSDT,TUSDUSDT,USDCUSDT,ZILUSDT,APEUSDT,SFPUSDT,SHIBUSDT,SNXUSDT,BCHUSDT,RAYUSDT,YFIUSDT,INJUSDT,ACHUSDT,DEXEUSDT,ETCUSDT,FDUSDUSDT,PENDLEUSDT,FILUSDT,1INCHUSDT,FLOKIUSDT,LUNCUSDT,STGUSDT,EURIUSDT,LDOUSDT,FORMUSDT,PENGUUSDT,HOMEUSDT,USD1USDT,XUSDUSDT
2024-12-22,0.0,0.0,0.0,0.056551078305595325,0.0,0.0,0.0,0.0,0.037211338794590335,0.0,0.030514240186445683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024705083230213226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04777613300603134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-23,0.0,0.0,0.0,0.056551078305595325,0.0,0.0,0.0,0.0,0.037211338794590335,0.0,0.030514240186445683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024705083230213226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04777613300603134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-24,0.0,0.0,0.0,0.056551078305595325,0.0,0.0,0.0,0.0,0.037211338794590335,0.0,0.030514240186445683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024705083230213226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04777613300603134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-25,0.0,0.0,0.0,0.056551078305595325,0.0,0.0,0.0,0.0,0.037211338794590335,0.0,0.030514240186445683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024705083230213226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04777613300603134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-26,0.0,0.0,0.0,0.056551078305595325,0.0,0.0,0.0,0.0,0.037211338794590335,0.0,0.030514240186445683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024705083230213226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04777613300603134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-27,0.0,0.0,0.0,0.056551078305595325,0.0,0.0,0.0,0.0,0.037211338794590335,0.0,0.030514240186445683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024705083230213226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04777613300603134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-28,0.0,0.0,0.0,0.056551078305595325,0.0,0.0,0.0,0.0,0.037211338794590335,0.0,0.030514240186445683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024705083230213226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04777613300603134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-29,0.0,0.0,0.0,0.056551078305595325,0.0,0.0,0.0,0.0,0.037211338794590335,0.0,0.030514240186445683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024705083230213226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04777613300603134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-30,0.0,0.0,0.0,0.056551078305595325,0.0,0.0,0.0,0.0,0.037211338794590335,0.0,0.030514240186445683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024705083230213226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04777613300603134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-31,0.0,0.0,0.0,0.056551078305595325,0.03113973173973875,0.0,0.0,0.0,0.0,0.0,0.030514240186445683,0.0,0.0,0.030048294670784945,0.0,0.0,0.0,0.0,0.024705083230213226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
