date,risk_off,halted,n_held,narratives
2023-12-03,False,False,10,"AVAX, FET, ROSE, SNX, UNI, ATOM, AXS, ADA, SUSHI, RAY"
2023-12-06,False,False,10,"ROSE, AVAX, LUNC, SUSHI, UNI, FET, RAY, CAKE, SNX, ADA"
2023-12-09,False,False,10,"LUNC, ROSE, FET, AVAX, SNX, DOGE, LINK, ETH, AXS, ATOM"
2023-12-12,False,False,10,"LUNC, DOGE, AVAX, DEXE, SNX, ETH, PENDLE, FLOKI, SUSHI, SHIB"
2023-12-15,False,False,10,"AVAX, DEXE, LUNC, RAY, ADA, ETH, DOGE, DOT, SHIB, ETC"
2023-12-18,False,False,10,"AVAX, DEXE, RAY, ADA, LUNC, SNX, INJ, DOT, DOGE, AXS"
2023-12-21,False,False,10,"AVAX, INJ, ADA, FET, DOT, DOGE, LUNC, SNX, RAY, AXS"
2023-12-24,False,False,10,"AVAX, INJ, RAY, ADA, FET, DOT, LUNC, USDC, ATOM, SHIB"
2023-12-27,False,False,10,"INJ, AVAX, RAY, FET, ADA, LUNC, DOT, SHIB, FIL, ROSE"
2023-12-30,False,False,10,"RAY, AVAX, INJ, ROSE, DOT, SFP, ADA, FET, 1INCH, FIL"
2024-01-02,False,False,10,"RAY, INJ, AVAX, ROSE, CAKE, DOT, AXS, SFP, ZIL, STG"
2024-01-05,False,False,10,"RAY, CAKE, INJ, ROSE, AVAX, DOT, AXS, UNI, LDO, SFP"
2024-01-08,False,False,10,"FIL, RAY, ROSE, INJ, CAKE, AVAX, 1INCH, UNI, AXS, DUSK"
2024-01-11,False,False,10,"RAY, INJ, ROSE, LDO, CAKE, FIL, 1INCH, TUSD, FET, PENDLE"
2024-01-14,False,False,8,"INJ, LDO, ROSE, RAY, CAKE, 1INCH, PENDLE, FIL"
2024-01-17,False,False,10,"LDO, PENDLE, ETH, ETC, INJ, ROSE, FET, 1INCH, AAVE, CAKE"
2024-01-20,False,False,10,"ETC, PENDLE, ETH, TRX, LDO, 1INCH, COMP, BCH, INJ, USDC"
2024-01-23,False,False,10,"PENDLE, ETC, LDO, ETH, TRX, STG, 1INCH, INJ, FDUSD, ROSE"
2024-01-26,False,False,10,"PENDLE, TRX, FDUSD, ETC, USDC, ETH, LINK, COMP, LDO, DUSK"
2024-01-29,False,False,5,"PENDLE, USDC, FDUSD, TRX, DUSK"
2024-02-01,False,False,5,"PENDLE, DUSK, TRX, USDC, ETC"
2024-02-04,False,False,6,"DUSK, PENDLE, TRX, ETC, LDO, USDC"
2024-02-07,False,False,5,"PENDLE, DUSK, TRX, USDC, LINK"
2024-02-10,False,False,10,"PENDLE, DUSK, LINK, TRX, ETC, ROSE, LTC, AVAX, USDC, SUSHI"
2024-02-13,False,False,10,"DUSK, PENDLE, TRX, LINK, ETC, TWT, ETH, LTC, USDC, UNI"
2024-02-16,False,False,10,"TRX, DUSK, PENDLE, LINK, FDUSD, ROSE, AVAX, UNI, ETC, BCH"
2024-02-19,False,False,10,"LINK, DUSK, TRX, PENDLE, BCH, ETH, AVAX, FDUSD, ROSE, SNX"
2024-02-22,False,False,10,"TRX, ETH, UNI, LINK, ADA, SUSHI, FLOKI, AVAX, DUSK, DOT"
2024-02-25,False,False,10,"TRX, ETH, TWT, BAT, STG, LINK, ADA, DUSK, FET, APE"
2024-02-28,False,False,10,"TRX, FET, ETH, FIL, ACH, TWT, ADA, KAVA, BAT, STG"
2024-03-02,False,False,10,"TRX, ETH, FET, FIL, ACH, SUSHI, CAKE, UNI, 1INCH, SFP"
2024-03-05,False,False,10,"ETH, TRX, COMP, FET, ACH, SUSHI, ZIL, APE, FIL, CAKE"
2024-03-08,False,False,10,"FET, COMP, ETH, ROSE, DEXE, TRX, DOGE, FLOKI, BONK, AXS"
2024-03-11,False,False,10,"SHIB, BONK, FLOKI, DOGE, ETH, FET, APE, LUNC, COMP, ETC"
2024-03-14,False,False,10,"FET, DEXE, SHIB, ETH, FLOKI, DOGE, SUSHI, YFI, ROSE, ZIL"
2024-03-17,False,False,10,"FLOKI, FET, SHIB, DEXE, ETH, SUSHI, DOGE, AXS, BONK, ZIL"
2024-03-20,False,False,10,"FLOKI, FET, DEXE, SHIB, CAKE, ZIL, AXS, BONK, SUSHI, ETH"
2024-03-23,False,False,10,"FLOKI, FET, DEXE, RAY, SHIB, ACH, CAKE, AVAX, DOGE, BONK"
2024-03-26,False,False,10,"FLOKI, DEXE, RAY, FET, SHIB, AVAX, ACH, USDC, TUSD, CAKE"
2024-03-29,False,False,10,"DEXE, FLOKI, RAY, FET, SHIB, CAKE, AVAX, DOGE, ACH, UNI"
2024-04-01,False,False,10,"FLOKI, DEXE, DUSK, RAY, FET, BCH, TUSD, PENDLE, AVAX, DOGE"
2024-04-04,False,False,10,"DEXE, SHIB, FLOKI, DUSK, DOGE, BCH, FET, PENDLE, CAKE, SNX"
2024-04-07,False,False,10,"DEXE, BCH, PENDLE, FLOKI, RAY, DUSK, DOGE, FET, SHIB, CAKE"
2024-04-10,False,False,8,"DEXE, PENDLE, RAY, BCH, DUSK, FET, LTC, FDUSD"
2024-04-13,False,False,9,"PENDLE, BCH, DEXE, LTC, DUSK, DOGE, FDUSD, FLOKI, RAY"
2024-04-16,False,False,10,"PENDLE, BCH, DEXE, SFP, USDC, DUSK, DOGE, LTC, RAY, AAVE"
2024-04-19,False,False,6,"PENDLE, SFP, DEXE, BCH, FDUSD, DOGE"
2024-04-22,False,False,3,"PENDLE, SFP, BCH"
2024-04-25,False,False,2,"PENDLE, SFP"
2024-04-28,False,False,4,"PENDLE, FDUSD, SFP, USDC"
2024-05-01,False,False,5,"USDC, PENDLE, BONK, SFP, ACH"
2024-05-04,False,False,7,"BONK, USDC, TRX, FDUSD, ACH, SFP, PENDLE"
2024-05-07,False,False,2,"USDC, TRX"
2024-05-10,False,False,9,"TRX, BONK, SFP, TWT, ACH, USDC, FLOKI, XRP, COMP"
2024-05-13,False,False,10,"BONK, TRX, AXL, FLOKI, ATOM, SFP, FET, RAY, TWT, XRP"
2024-05-16,False,False,9,"TRX, BONK, FDUSD, FLOKI, ATOM, RAY, SUSHI, USDC, TUSD"
2024-05-19,False,False,5,"TRX, USDC, BONK, FLOKI, SUSHI"
2024-05-22,False,False,10,"TRX, FLOKI, BONK, SUSHI, SHIB, ZEC, RAY, SFP, LTC, LUNC"
2024-05-25,False,False,10,"FLOKI, LINK, BONK, RAY, TRX, ADA, AVAX, SUSHI, SHIB, LUNC"
2024-05-28,False,False,10,"BONK, ETH, FLOKI, UNI, LINK, PENDLE, ETC, AVAX, BCH, DOGE"
2024-05-31,False,False,10,"ZEC, UNI, LINK, ETH, PENDLE, ETC, BONK, LDO, SUSHI, AAVE"
2024-06-03,False,False,10,"BONK, FLOKI, UNI, LINK, ETH, PENDLE, ZEC, AAVE, LDO, DUSK"
2024-06-06,False,False,10,"1INCH, DUSK, LINK, FLOKI, UNI, LUNC, STG, BONK, ZEC, PENDLE"
