date,AVAXUSDT,TWTUSDT,FILUSDT,CAKEUSDT,TRXUSDT,LINKUSDT,UNIUSDT,INJUSDT,DOTUSDT,ETHUSDT,ZILUSDT,XRPUSDT,SUSHIUSDT,BCHUSDT,ADAUSDT,FETUSDT,1INCHUSDT,ATOMUSDT,KAVAUSDT,SFPUSDT,DUSKUSDT,AXSUSDT,USDCUSDT,TUSDUSDT,SHIBUSDT,LTCUSDT,YFIUSDT,ZECUSDT,DOGEUSDT,AAVEUSDT,COMPUSDT,RAYUSDT,ROSEUSDT,DEXEUSDT,BATUSDT,ETCUSDT,APEUSDT,SNXUSDT,STGUSDT,LDOUSDT,ACHUSDT,FDUSDUSDT,PENDLEUSDT,FLOKIUSDT,LUNCUSDT,AXLUSDT,BONKUSDT,ZROUSDT,EURIUSDT
2024-02-19,0.0,0.0,0.0,0.0,0.060146259785651926,0.0,0.0,0.0,0.0,0.010161045832912139,0.0,0.0,0.0,0.0,0.0,0.0,0.005315786327154358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004387211881749524,0.0,0.15,0.0038804949753199693,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-20,0.0,0.0,0.0,0.0,0.060146259785651926,0.0,0.0,0.0,0.0,0.010161045832912139,0.0,0.0,0.0,0.0,0.0,0.0,0.005315786327154358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004387211881749524,0.0,0.15,0.0038804949753199693,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-21,0.0,0.0,0.0,0.0,0.060146259785651926,0.0,0.0,0.0,0.0,0.010161045832912139,0.0,0.0,0.0,0.0,0.0,0.0,0.005315786327154358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004387211881749524,0.0,0.15,0.0038804949753199693,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-22,0.0,0.0,0.0,0.0,0.060146259785651926,0.0,0.0,0.0,0.0,0.010161045832912139,0.0,0.0,0.0,0.0,0.0,0.0,0.005315786327154358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004387211881749524,0.0,0.15,0.0038804949753199693,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-23,0.05653268010765281,0.0,0.0,0.0,0.15,0.06031528134777111,0.07558930327360848,0.0,0.09585114355271866,0.10782220528535422,0.0,0.0,0.07054377804906381,0.0,0.07110689212290555,0.0,0.005315786327154358,0.0,0.0,0.0,0.03379422763633654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004387211881749524,0.0,0.0,0.0038804949753199693,0.08051706315617893,0.0,0.0,0.0,0.0,0.0
2024-02-24,0.05653268010765281,0.0,0.0,0.0,0.15,0.06031528134777111,0.07558930327360848,0.0,0.09585114355271866,0.10782220528535422,0.0,0.0,0.07054377804906381,0.0,0.07110689212290555,0.0,0.005315786327154358,0.0,0.0,0.0,0.03379422763633654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004387211881749524,0.0,0.0,0.0038804949753199693,0.08051706315617893,0.0,0.0,0.0,0.0,0.0
2024-02-25,0.05653268010765281,0.0,0.0,0.0,0.15,0.06031528134777111,0.07558930327360848,0.0,0.09585114355271866,0.10782220528535422,0.0,0.0,0.07054377804906381,0.0,0.07110689212290555,0.0,0.005315786327154358,0.0,0.0,0.0,0.03379422763633654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004387211881749524,0.0,0.0,0.0038804949753199693,0.08051706315617893,0.0,0.0,0.0,0.0,0.0
2024-02-26,0.0,0.0883017909506525,0.0,0.0,0.15,0.06031528134777111,0.0,0.0,0.0,0.10782220528535422,0.0,0.0,0.0,0.0,0.07110689212290555,0.03641411075487564,0.005315786327154358,0.0,0.0,0.0,0.03379422763633654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10878534599574785,0.0,0.05735345358825563,0.0,0.05664498801026086,0.004387211881749524,0.0,0.0,0.0038804949753199693,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-27,0.0,0.0883017909506525,0.0,0.0,0.15,0.06031528134777111,0.0,0.0,0.0,0.10782220528535422,0.0,0.0,0.0,0.0,0.07110689212290555,0.03641411075487564,0.005315786327154358,0.0,0.0,0.0,0.03379422763633654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10878534599574785,0.0,0.05735345358825563,0.0,0.05664498801026086,0.004387211881749524,0.0,0.0,0.0038804949753199693,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-28,0.0,0.0883017909506525,0.0,0.0,0.15,0.06031528134777111,0.0,0.0,0.0,0.10782220528535422,0.0,0.0,0.0,0.0,0.07110689212290555,0.03641411075487564,0.005315786327154358,0.0,0.0,0.0,0.03379422763633654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10878534599574785,0.0,0.05735345358825563,0.0,0.05664498801026086,0.004387211881749524,0.0,0.0,0.0038804949753199693,0.0,0.0,0.0,0.0,0.0,0.0
